#The abundance of pathway
Category	SubCategoryI	SubCategoryII	sample1	sample2
Organic Degration	Carbohydrate	Beta-mannan	0	0
Organic Degration	Carbohydrate	Cellulose	0	0
Organic Degration	Carbohydrate	Chitin	0	0
Organic Degration	Carbohydrate	Citrate cycle	7	2
Organic Degration	Carbohydrate	Disaccharide	0	0
Organic Degration	Carbohydrate	Fermentation	3	1
Organic Degration	Carbohydrate	Fucose	0	0
Organic Degration	Carbohydrate	Galactose	0	0
Organic Degration	Carbohydrate	Galacturonic acid	0	1
Organic Degration	Carbohydrate	Glycan	1	0
Organic Degration	Carbohydrate	Glycolipid	1	0
Organic Degration	Carbohydrate	Glycolysis	16	5
Organic Degration	Carbohydrate	Glyoxylate cycle	4	1
Organic Degration	Carbohydrate	Hemicellulose	0	0
Organic Degration	Carbohydrate	Lactose	0	0
Organic Degration	Carbohydrate	Lipopolysaccharide	0	0
Organic Degration	Carbohydrate	Mannose	0	0
Organic Degration	Carbohydrate	Monosaccharide	8	3
Organic Degration	Carbohydrate	Oxidative phosphorylation	13	7
Organic Degration	Carbohydrate	Pectin	0	0
Organic Degration	Carbohydrate	Pentose phosphate	8	5
Organic Degration	Carbohydrate	Peptidoglycan	0	0
Organic Degration	Carbohydrate	Polysaccharide	1	0
Organic Degration	Carbohydrate	Pyruvate	6	1
Organic Degration	Carbohydrate	Starch	1	0
Organic Degration	Carbohydrate	Sucrose	0	0
Organic Degration	Carbohydrate	Xylan	0	0
Organic Degration	Carbohydrate	Xyloglucan	0	0
Organic Degration	Carbohydrate	Xylose-dehydratase	0	0
Organic Degration	Carbohydrate	Xylose-isomerase	0	0
Organic Degration	Carbohydrate	Xylose-oxidoreductase	0	0
Organic Degration	Cofactor	Coenzyme	0	0
Organic Degration	Cofactor	Porphyrin	0	0
Organic Degration	Cofactor	Vitamin A	2	1
Organic Degration	Cofactor	Vitamin B	7	6
Organic Degration	Cofactor	Vitamin E	0	0
Organic Degration	Cofactor	Vitamin K	0	0
Organic Degration	Lipid	Fatty acid	10	4
Organic Degration	Lipid	Polyketide	0	0
Organic Degration	Methane-aerobic	Oxidation of formaldehyde	2	1
Organic Degration	Methane-aerobic	Oxidation of formate	0	0
Organic Degration	Methane-aerobic	Oxidation of merthane and C1 compounds	1	0
Organic Degration	Methane-aerobic	RuMP pathway	4	1
Organic Degration	Methane-aerobic	serine cycle	11	4
Organic Degration	Methane-anaerobic	Anaerobic oxidation of methane (AOM)	4	2
Organic Degration	Nucleotide	Purine	10	2
Organic Degration	Nucleotide	Pyrimidine	4	1
Organic Degration	Organic sulfur	Link between inorganic and organic sulfur transformation	2	1
Organic Degration	Organic sulfur	Organic sulfur transformation	4	2
Organic Degration	Organic sulfur	Others	2	0
Organic Degration	Organophosphorus Compound	Organic phosphoester hydrolysis	3	1
Organic Degration	Organophosphorus Compound	Others	0	0
Organic Degration	Organophosphorus Compound	Phosphonate and phosphinate metabolism	1	1
Organic Degration	Secondary metabolite	Secondary metabolite	1	0
Organic Degration	Xenobiotics	Herbicide	1	1
Organic Degration	Xenobiotics	Lignin	17	5
Organic Degration	Xenobiotics	Organic pollutant	3	1
Organic Degration	Xenobiotics	Plastics	1	1
Organic Degration	Xenobiotics	Selenocompound	0	1
Organic Degration	Xenobiotics	Styrene	0	0
Organic Transformation	Amino acid	D-Amino acid	0	0
Organic Transformation	Antibiotic	Aminoglycoside antibotics	0	0
Organic Transformation	Antibiotic	Lipopeptide antibiotics	0	0
Organic Transformation	Antibiotic	Macrolide-lincosamide-streptogramin	0	0
Organic Transformation	Antibiotic	Polypeptide antibiotic	0	0
Organic Transformation	Antibiotic	Viomycin	0	0
Organic Transformation	Carbohydrate	Carbohydrate	0	0
Organic Transformation	Glycan	Galactoarabinan	0	0
Organic Transformation	Glycan	Glycolipid	1	0
Organic Transformation	Glycan	Lipopolysaccharide	1	0
Organic Transformation	Glycan	Peptidoglycan	4	1
Organic Transformation	Lipid	Fatty acid	1	0
Organic Transformation	Lipid	Polyketide	0	0
Organic Transformation	Protein	Protein	0	0
Organic Transformation	Xenobiotics	Lignin	13	4
Transport	ABC transport	ABC transport	15	7
Transport	Phosphotransferase system	Phosphotransferase system	6	2
Transport	Transport system	Transport system	0	0
Transport	Two-component system	Two-component system	13	8
